ISOLATE,collection_date,ST,cgT
2018-03917,2018-02-21,11,135
2018-04154,2018-02-22,11,2189
2018-04150,2018-02-22,11,2189
2018-04726,2018-03-01,11,2189
2018-04849,2018-03-03,11,580
2018-04837,2018-03-02,1925,159
2018-04979,2018-03-04,11,2219
2018-05064,2018-03-05,11,33
2018-05880,2018-03-13,11,2189
2018-05879,2018-03-14,11,2218
2018-06179,2018-03-20,11,367
2018-06240,2018-03-18,5443,UC
2018-06212,2018-03-19,11,UC
2018-06299,2018-03-21,11,365
2018-06493,2018-03-23,11,2189
2018-06406,2018-03-22,11,33
2018-06660,2018-03-23,11,365
2018-06769,2018-03-29,11,236
2018-06766,2018-03-26,1925,159
2018-07203,2018-04-04,11,33
2018-07200,2018-04-02,11,2189
2018-07419,2018-04-06,11,33
2018-07619,2018-04-10,11,367
2018-07913,2018-04-12,1925,159
2018-07868,2018-04-11,11,33
2018-07833,2018-04-11,11,33
2018-08219,2018-04-18,11,2090
2018-08288,2018-04-17,11,365
2018-08336,2018-04-20,11,148
2018-08874,2018-04-30,11,148
2018-08873,2018-04-28,11,33
2018-09062,2018-05-01,11,2219
2018-09014,2018-05-01,180,UC
2018-08973,2018-04-30,11,2125
2018-09353,2018-05-05,11,UC
2018-09473,2018-05-07,11,33
2018-09449,2018-05-07,11,58
2018-09440,2018-05-05,11,33
2018-09726,2018-05-10,11,33
2018-09721,2018-05-09,11,287
2018-09662,2018-05-08,11,58
2018-09729,2018-05-10,11,623
2018-10255,2018-05-14,11,148
2018-10327,2018-05-16,11,33
2018-10326,2018-05-17,11,493
2018-10484,2018-05-19,11,33
2018-11224,2018-05-26,11,136
2018-11321,2018-05-27,11,287
2018-11539,2018-05-28,11,2165
2018-11730,2018-06-02,11,2219
2018-11726,2018-05-31,11,135
2018-11996,2018-06-03,,-
2018-12094,2018-06-05,11,33
2018-12393,2018-06-08,11,493
2018-12388,2018-06-08,11,2220
2018-12611,2018-06-12,11,2165
2018-12735,2018-06-12,11,2220
2018-12848,2018-06-13,1925,159
2018-12844,2018-06-14,11,287
2018-13249,2018-06-16,11,2219
2018-13123,2018-06-18,11,33
2018-13351,2018-06-21,11,33
2018-13794,2018-06-28,11,33
2018-13890,2018-06-28,11,282
2018-13917,2018-06-29,11,2165
2018-14027,2018-06-30,11,2220
2018-14091,2018-07-02,11,2219
2018-14170,2018-07-03,11,33
2018-14246,2018-07-05,11,2220
2018-14243,2018-07-06,11,2220
2018-14784,2018-07-12,11,318
2018-14773,2018-07-12,11,33
2018-14894,2018-07-14,11,279
2018-15088,2018-07-17,11,580
2018-15127,2018-07-14,11,33
2018-15107,2018-07-16,11,365
2018-15105,2018-07-13,11,136
2018-15225,2018-07-16,11,287
2018-15255,2018-07-18,11,240
2018-15253,2018-07-19,11,365
2018-15260,2018-07-17,11,33
2018-15470,2018-07-23,1925,159
2018-15468,2018-07-23,11,734
2018-15467,2018-07-23,11,2165
2018-15704,2018-07-25,11,1663
2018-15655,2018-07-24,11,2189
2018-16132,2018-07-29,11,2165
2018-16215,2018-08-01,11,136
2018-16212,2018-07-31,11,2219
2018-16193,2018-07-31,11,2165
2018-16187,2018-08-01,11,2125
2018-16288,2018-08-02,11,UC
2018-16285,2018-08-02,11,33
2018-16284,2018-07-30,1925,159
2018-16387,2018-07-30,1925,159
2018-16686,2018-08-08,11,33
2018-16674,2018-08-07,11,33
2018-16665,2018-08-09,11,2219
2018-16813,2018-08-08,11,33
2018-16975,2018-08-13,1925,159
2018-17011,2018-08-11,11,734
2018-17134,2018-08-15,3304,260
2018-17133,2018-08-13,11,2220
2018-17131,2018-08-14,11,2250
